fecha,hora,temperatura,consumo_MW_potencia
01/01/2022,22:00,"32,6",758
02/01/2022,23:30,"38",829
03/01/2022,17:30,"37,1",1010
04/01/2022,17:00,"34,2",994
05/01/2022,17:00,"34,5",970
06/01/2022,14:00,"35,6",997
07/01/2022,17:00,"33,9",921
08/01/2022,15:00,"37,8",944
09/01/2022,23:30,"38,4",921
10/01/2022,14:00,"38,5",1148
11/01/2022,13:30,"37",1168
12/01/2022,14:00,"37,8",1205
13/01/2022,13:30,"38,4",1231
14/01/2022,15:00,"37,1",1074
15/01/2022,14:00,"36,3",1008
16/01/2022,1:00,"33",847
17/01/2022,13:00,"29",817
18/01/2022,13:00,"15,8",742
19/01/2022,21:45,"23,5",775
20/01/2022,21:30,"31,6",822
21/01/2022,12:00,"32,9",882
22/01/2022,13:00,"34,1",847
23/01/2022,23:30,"33,3",828
24/01/2022,22:00,"32,9",907
25/01/2022,13:00,"34",1003
26/01/2022,13:00,"33,7",846
27/01/2022,21:15,"26,4",727
28/01/2022,21:15,"30,7",773
29/01/2022,21:30,"34,6",810
30/01/2022,21:45,"35,6",802
31/01/2022,21:15,"31,6",809
01/02/2022,17:00,"36,3",925
02/02/2022,16:00,"32,7",880
03/02/2022,13:00,"31",858
04/02/2022,21:30,"29,9",784
05/02/2022,1:00,"20,2",675
06/02/2022,21:30,"28,8",666
07/02/2022,21:30,"32,5",805
08/02/2022,21:15,"35,4",877
09/02/2022,17:00,"36,5",919
10/02/2022,13:00,"34,9",920
11/02/2022,12:00,"25,1",765
12/02/2022,21:30,"26,2",707
13/02/2022,21:30,"31,4",696
14/02/2022,21:30,"35,5",854
15/02/2022,21:00,"37,4",937
16/02/2022,21:00,"33,6",914
17/02/2022,17:30,"32,9",903
18/02/2022,17:30,"35,1",934
19/02/2022,1:00,"31,2",826
20/02/2022,21:45,"31,3",750
21/02/2022,21:15,"19,5",724
22/02/2022,21:45,"22,4",730
23/02/2022,21:15,"24,2",709
24/02/2022,21:15,"26,8",730
25/02/2022,20:45,"31,8",764
26/02/2022,20:45,"34,5",812
27/02/2022,21:15,"31,1",716
28/02/2022,21:30,"30,4",734
01/03/2022,21:30,"35",792
02/03/2022,21:00,"31,9",860
03/03/2022,20:45,"35,3",908
04/03/2022,21:00,"32,5",885
05/03/2022,1:00,"27,9",774
06/03/2022,21:15,"28,6",736
07/03/2022,21:00,"30",814
08/03/2022,21:00,"31,9",865
09/03/2022,20:45,"25,7",799
10/03/2022,21:15,"27,7",815
11/03/2022,20:30,"26,4",784
12/03/2022,20:45,"30,9",763
13/03/2022,21:45,"28,7",718
14/03/2022,20:30,"34,9",814
15/03/2022,21:00,"33",842
16/03/2022,20:45,"35",862
17/03/2022,20:45,"28,7",810
18/03/2022,20:45,"25,5",773
19/03/2022,20:45,"26,2",734
20/03/2022,21:45,"26",708
21/03/2022,20:45,"28,6",790
22/03/2022,21:00,"29,4",811
23/03/2022,13:00,"33,4",782
24/03/2022,21:30,"23,5",753
25/03/2022,20:45,"25,5",752
26/03/2022,20:45,"29,2",730
27/03/2022,21:15,"31,4",694
28/03/2022,20:30,"32,5",800
29/03/2022,20:15,"31,4",776
30/03/2022,20:15,"18,7",774
31/03/2022,20:45,"22,5",770
01/04/2022,21:00,"25,2",773
02/04/2022,20:30,"25,9",721
03/04/2022,21:15,"21,5",700
04/04/2022,21:00,"25,1",768
05/04/2022,20:45,"28,6",772
06/04/2022,20:15,"30,4",785
07/04/2022,20:30,"30,4",796
08/04/2022,20:00,"30,2",790
09/04/2022,20:15,"31,4",745
10/04/2022,21:30,"19,2",672
11/04/2022,21:00,"20,15",746
12/04/2022,21:00,"24,2",762
13/04/2022,20:30,"25,1",754
14/04/2022,21:00,"25,8",728
15/04/2022,21:30,"26,2",670
16/04/2022,20:45,"26,1",691
17/04/2022,21:00,"26,6",659
18/04/2022,20:45,"25,1",741
19/04/2022,20:45,"25,8",762
20/04/2022,20:30,"23",763
21/04/2022,20:30,"20,8",762
22/04/2022,20:30,"19,7",742
23/04/2022,20:30,"24",700
24/04/2022,21:30,"28,5",669
25/04/2022,20:30,"27",745
26/04/2022,12:00,"31,8",736
27/04/2022,21:00,"21,1",745
28/04/2022,21:15,"16,1",799
29/04/2022,21:15,"18,5",793
30/04/2022,20:45,"22",727
01/05/2022,21:45,"21,6",703
02/05/2022,21:30,"21,7",780
03/05/2022,21:15,"22,8",786
04/05/2022,21:15,"25",778
05/05/2022,21:15,"25,3",763
06/05/2022,20:45,"24,6",744
07/05/2022,20:45,"24,7",703
08/05/2022,21:15,"23,9",687
09/05/2022,21:15,"24,2",745
10/05/2022,21:00,"21,1",754
11/05/2022,21:45,"20,2",772
12/05/2022,21:15,"23",756
13/05/2022,21:00,"19,9",755
14/05/2022,20:15,"16,8",741
15/05/2022,21:45,"17,1",737
16/05/2022,21:30,"16,1",817
17/05/2022,20:45,"16",820
18/05/2022,21:15,"18,2",802
19/05/2022,21:15,"19,5",829
20/05/2022,21:30,"20,6",817
21/05/2022,20:30,"21,4",766
22/05/2022,21:00,"21,5",745
23/05/2022,21:15,"18,7",804
24/05/2022,20:30,"16,5",821
25/05/2022,21:15,"11,8",826
26/05/2022,20:45,"10,3",888
27/05/2022,19:15,"12,7",860
28/05/2022,20:00,"15,4",891
29/05/2022,21:00,"13",817
30/05/2022,20:30,"12,7",894
31/05/2022,21:15,"13,3",914